scientific_name,korean_name
Gracilaria vermiculophylla,꼬시래기
Gracilariopsis chorda,개꼬시래기
Grateloupia acuminata,왕지누아리
Grateloupia angusta,붉은뼈까막살
Grateloupia asiatica,지네지누아리
Grateloupia carnosa,다육지누아리
Grateloupia catenata,사슬지누아리
Grateloupia chiangii,가지까막살
Grateloupia cornea,붉은까막살
Grateloupia crispata,주름까막살
Grateloupia divaricata,뼈지누아리
Grateloupia elata,긴까막살
Grateloupia imbricata,꽃지누아리
Grateloupia jejuensis,댓잎도박
Grateloupia kurogii,얼룩도박
Grateloupia livida,넓은지누아리
Grateloupia patens,작은톱니지누아리
Grateloupia porracea,빈참지누아리
Grateloupia prolongata,개지누아리
Grateloupia ramosissima,가는지누아리
Grateloupia sparsa,명주지누아리
Grateloupia subpectinata,빗살도박
Grateloupia turuturu,미끌도박
Halymenia formosa,가시왕도박
Pachymeniopsis lanceolata,개도박
Polyopes affinis,참까막살
Polyopes lancifolius,털지누아리
Tsengia lancifolia,끈적이가는잎
Tsengia nakamurae,나까무라가는잎
Predaea bisporifera,상추해파리말
Predaea tokidae,보들해파리말
Haematocelis zonalis,빨간얼룩이
Schizymenia apoda,자루갈래잎
Schizymenia dubyi,갈래잎
Peyssonnelia boergesenii,아롱바다표고
Peyssonnelia caulifera,자루바다표고
Peyssonnelia conchicola,붉은바다표고
Peyssonnelia dubyi,두비바다표고
Peyssonnelia rosenvingii,로젠빙바다표고
Sonderophycus capensis,아프리카바다표고
Pulvinia epiphytica,붉은보료
Plocamium cartilagineum,가는곱슬이
Plocamium ovicorne,애기곱슬이
Plocamium telfairiae,참곱슬이
Plocamium recurvatum,뒷고리곱슬이
Plocamium suhrii,수리곱슬이
Champia bifida,두갈래사슬풀
Champia expansa,넓은사슬풀
Champia japonica,왜사슬풀
