보-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(2)  NO. 10,20,0.08559114424861036,3.0377643583722147,3.0377643583722147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0377643583722147,0.15897740593959497,1.5961078794407513,1.5961078794407513,0,0,0,0,0,0,1.5961078794407513,,,,,0,0,0.3165350906993094,9.610917818812798,0,0,0,0,0,0
(2)  소계,40,0.30377643583722147,20.445515533883736,20.445515533883736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.445515533883736,0.15961078794407513,1.6024416994855528,1.6024416994855528,0,0,0,0,0,0,1.6024416994855528,1.6024416994855528,1.6024416994855528,0,18.843073834398183,0,0,0.9610917818812797,34.32022943123333,0,0,0,0,0,0
(2)  NO. 10+2.78,2.777896071088918,0.20932773345714395,0.409626995834384,0.409626995834384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409626995834384,0.2574401720183914,0.5783823768709269,0.5783823768709269,0,0,0,0,0,0,0.5783823768709269,,,,,0,0,0.4882928200136164,1.1178641455360696,0,0,0,0,0,0
(2)  소계,2.777896071088918,0.20932773345714395,0.409626995834384,0.409626995834384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409626995834384,0.2574401720183914,0.5783823768709269,0.5783823768709269,0,0,0,0,0,0,0.5783823768709269,0.409626995834384,0.409626995834384,0.16875538103654286,0,0,0,0.4882928200136164,1.1178641455360696,0,0,0,0,0,0
(2)  총계,202.77789607108892,2.2151677345314837,39.12244001049487,39.12244001049487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.12244001049487,2.3343513668773,22.093759543171984,22.093759543171984,0,0,0,0,0,0,22.093759543171984,5.05346791647127,5.05346791647127,17.040291626700714,34.06897209402359,0.01759919500573819,0.17599195005738189,3.8388933737237863,63.37245372070378,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),202.77789607108892,0.22970215866971166,1.3358489146668355,1.3358489146668355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3358489146668355,9.510576957180248,66.86509337473083,66.86509337473083,0,0,0,0,0,0,66.86509337473083,1.3358489146668355,1.3358489146668355,65.52924446006399,0,0.08323198786333949,1.2763485105086378,0,0,0,0,0,0,0,0
(2),202.77789607108892,2.2151677345314837,39.12244001049487,39.12244001049487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.12244001049487,2.3343513668773,22.093759543171984,22.093759543171984,0,0,0,0,0,0,22.093759543171984,5.05346791647127,5.05346791647127,17.040291626700714,34.06897209402359,0.01759919500573819,0.17599195005738189,3.8388933737237863,63.37245372070378,0,0,0,0,0,0
총계,405.55579214217784,2.4448698932011954,40.4582889251617,40.4582889251617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4582889251617,11.844928324057548,88.95885291790282,88.95885291790282,0,0,0,0,0,0,88.95885291790282,6.389316831138105,6.389316831138105,82.56953608676471,34.06897209402359,0.10083118286907768,1.4523404605660197,3.8388933737237863,63.37245372070378,0,0,0,0,0,0
