□ 2023년말 보호수 지정 세부현황,,,,,,,,,,,,,,,,,,,,,,,
,,,보호수 본수,13870,,,,,,,,,,,,,,,,,,,
,,,보호수 수종 개수,153.99999999997078,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1.지정정보,,,,,2.명칭정보,,,3.위치정보,,,,4.관리정보,5.개체정보,,,,,,,,,,
지정기관,지정번호,지정본수,지정유형,세부지정유형,대분류,수종명(국명),수종명(학명),시군구명,세부 주소,지목유형,생육지형,지정일,지정일기준수령(년),2023년기준수령(년),수고(cm),흉고직경(cm),흉고둘레(cm),,,,,,
서울특별시,서2-11,1,노거목,보목,소나무,소나무,Pinus densiflora S. et Z.,중구,장충동 2가 산14-21,임야,평탄지,1985.10.02,90,128,1600,40,110,,,,,,
서울특별시,서2-12,1,노거목,보목,소나무,소나무,Pinus densiflora S. et Z.,중구,장충동 2가 산14-21,임야,평탄지,1985.10.02,70,108,1600,40,140,,,,,,
서울특별시,서2-14,1,노거목,당산목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino ,중구,필동 2가 128-9,대,평탄지,2006.07.13,140,157,2000,130,420,,,,,,
서울특별시,서3-1,1,노거목,정자목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino ,용산구, 원효로4가87-2,대지,평탄지,1972.10.12,630,681,1900,210,660,,,,,,
서울특별시,서3-2,1,노거목,정자목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino ,용산구, 한남동 541-1,도로,평탄지,1981.10.27,515,557,2200,220,690,,,,,,
서울특별시,서3-3,1,노거목,당산목,은행나무,은행나무,Ginkgo biloba L. ,용산구, 동빙고동 65,대지,평탄지,1968.07.03,430,485,1400,140,450,,,,,,
서울특별시,서3-4,1,노거목,당산목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino ,용산구, 원효로4가 87-2 ,대지,평탄지,1981.10.27,315,357,2100,110,330,,,,,,
서울특별시,서3-5,1,노거목,당산목,은행나무,은행나무,Ginkgo biloba L. ,용산구, 용산동5가 24,대지,평탄지,1981.10.27,315,357,2800,210,670,,,,,,
서울특별시,서3-6,1,노거목,정자목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino ,용산구, 원효로4가87-2,대지,평탄지,1998.04.25,200,225,1500,70,230,,,,,,
서울특별시,서3-7,1,노거목,정자목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino ,용산구, 원효로4가87-2,대지,평탄지,1998.04.25,200,225,1700,90,270,,,,,,
