행 레이블,합계 : 문헌종수,,행 레이블,합계 : 문헌종수,,행 레이블,합계 : 문헌종수,,행 레이블,합계 : 문헌종수,,행 레이블,합계 : 문헌종수
푸른아시아실잠자리 (=남아시아실잠자리),0,,블루길,0,,항라머리검독수리,0,,,,,,
흰얼굴좀잠자리,0,,가숭어,0,,줄기러기,0,,,,,,
노란배측범잠자리 (=노랑배측범잠자리),0,,붕퉁뱅어,0,,해오라기,0,,,,,,
흰이랑돌고부지,0,,배스,0,,줄무늬노랑발갈매기,0,,,,,,
자루측범잠자리 (=자루측범잠자리 KUa),0,,붕어,0,,호랑지빠귀,0,,,,,,
흰이랑삿갓조개,0,,풀반지 ,0,,쇠솔딱새,0,,,,,,
고려측범잠자리 (=고려측범잠자리 KUa),0,,북방중고기,0,,호사도요,0,,,,,,
흰이빨참갯지렁이,0,,버들피리,0,,중백로,0,,,,,,
참별박이왕잠자리 (=참별박이왕잠자리 KUa),0,,북방종개,0,,호사비오리,0,,,,,,
흰줄깜장하루살이,0,,참쉬리,0,,중부리도요,0,,,,,,
한국꼬마잠자리 (=꼬마잠자리),0,,부안종개,0,,혹부리오리,0,,,,,,
흰줄꽃등에 KUa,0,,아무르점줄종개,0,,쥐발귀개개비,0,,,,,,
산깃동잠자리 (=깃동잠자리붙이),0,,벚꽃뱅어,0,,홍방울새,0,,,,,,
흰줄날도래 KUa,0,,비파,0,,지느러미발도요,0,,,,,,
그물강도래붙이 (=그물강도래붙이 KUa),0,,버들치,0,,홍여새,0,,,,,,
흰하루살이,0,,곤들매기,0,,송곳부리도요,0,,,,,,
한국좀뱀잠자리 (=좀뱀잠자리 KUa),0,,버들붕어,0,,황로,0,,,,,,
.,0,,왜풀망둑 ,0,,쇠개개비,0,,,,,,
노란뱀잠자리 (=뱀잠자리),0,,버들매치,0,,황여새,0,,,,,,
산골플라나리아류,0,,수염문절,0,,회색숲제비,0,,,,,,
둥근물삿갓벌레 (=둥근물삿갓벌레 KUa),0,,버들개,0,,황조롱이,0,,,,,,
기수우렁이류 1,0,,별망둑,0,,휘파람새,0,,,,,,
개울물삿갓벌레 (=물삿갓벌레 KUa),0,,버들가지,0,,회색머리딱새,0,,,,,,
기수우렁이류 2,0,,실망둑,0,,흑꼬리도요,0,,,,,,
애아이노각다귀 (=각다귀 KUb),0,,뱅어,0,,회색머리아비,0,,,,,,
기수우렁이류 3,0,,남방풀비늘망둑,0,,흑로,0,,,,,,
깔따구류(적색형),0,,뱀장어,0,,쇠재두루미,0,,,,,,
실지렁이류 1,0,,검정꾹저구,0,,흰갈매기,0,,,,,,
"멋쟁이입술날도래 (=큰입술날도래 KUa, 넓은입술날도래 KUa)",0,,밴댕이,0,,진홍가슴,0,,,,,,
