순,목,,과,,학명,,출현,
319,,,,,곧은띠비단명나방,Orthopygia glaucinalis,,○
320,,,자나방과,Geometridae,이른봄애기물결자나방,Eupithecia clavifera,1,
321,,,,,톱날물결자나방,Eustroma melancholicum,1,
322,,,,,흑점박이흰가지나방,Lomographa  temerata,2,○
323,,,,,흰띠가지나방,Pseuderannis  lomozemia,3,
324,,,,,남방갈고리가지나방,Odontopera  arida,1,○
325,,,,,털뿔가지나방,Alcis angulifera,1,○
326,,,,,가랑잎가지나방,Parectropis  nigrosparsa,2,
327,,,,,끝짤룩노랑가지나방,Pareclipsis gracilis,3,○
328,,,,,각시얼룩가지나방,Abraxas niphonibia,3,○
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
329,,,,,점얼룩가지나방,Abraxas fulvobasalis,,○
330,,,,,연회색가지나방,Ectropis aigneri,1,
331,,,,,갈고리가지나방,Fasce lina chromataria,1,
332,,,,,뿔무늬큰가지나방,Phthonosema  tendinosaria,1,
333,,,,,네눈가지나방,Hypomecis  punctinalis,1,○
334,,,,,큰노랑물결자나방,Gandaritis  fixseni,1,
335,,,,,솔개빛물결자나방,Eulithis ledereri,1,○
336,,,,,불회색가지나방,Biston regalis,1,
337,,,,,가운데흰물결자나방,Euphyia cineraria,2,
338,,,,,쌍무늬물결자나방,Catarhoe  obscura,1,
339,,,,,큰톱날물결자나방,Ecliptopera umbrosaria,1,○
340,,,,,뒷분홍가지나방,Heterolocha  aristonaria,1,
341,,,,,세줄점가지나방,Chiasmia hebesata,1,○
342,,,,,네무늬가지나방,Heterostegane hyriaria,1,
343,,,,,뽕나무가지나방,Phthonandria  atrilineata,1,○
344,,,,,세줄노랑가지나방,Ctenognophos  grandinaria,1,
345,,,,,담흑가지나방,Polymixinia  appositaria,4,
346,,,,,점줄뾰족물결자나방,Carige cruciplaga,1,
347,,,,,꼬마노랑가지나방,Heterolocha  laminaria,1,○
348,,,,,검띠푸른자나방,Agathia cari sima,,○
349,,,,,오얏나무가지나방,Angerona prunaria,,○
350,,,,,뒷노랑점가지나방,Arichanna melanaria,,○
351,,,,,네눈쑥가지나방,Ascotis selenaria,,○
352,,,,,뒷노랑흰물결자나방,Ca leulype whitelyi,,○
353,,,,,배노랑물결자나방,Ca lygris compositata,,○
354,,,,,두줄점가지나방,Chiasmia defixaria,,○
355,,,,,고운날개가지나방,Chiasmia normata,,○
356,,,,,네점푸른자나방,Comibaena amoenaria,,○
357,,,,,붉은무늬푸른자나방,Comibaena delicatior,,○
358,,,,,애기네눈박이푸른자나방,Comostola subtiliaria,,○
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
359,,,,,노랑띠알락가지나방,Culcula panterinaria,,○
360,,,,,솔검은가지나방,Deileptenia rebeata,,○
361,,,,,흑갈색가지나방,Devenilia corearia,,○
362,,,,,큰톱날물결자나방,Ecliptopera umbrosaria,,○
363,,,,,줄고운가지나방,Ecliptopera umbrosaria,,○
364,,,,,갈색가지나방,Ectropis obliqua,,○
365,,,,,멋진노랑물결자나방,Eulithis convergenata,,○
366,,,,,무늬박이흰물결자나방,Eulithis fabiolaria,,○
367,,,,,용진노랑물결자나방,Eulithis testata,,○
368,,,,,고로쇠물결자나방,Eupithecia proterva,,○
369,,,,,노랑그물물결자나방,Eustroma aerosum,,○
370,,,,,제비푸른자나방,Gelasma protrusa,,○
371,,,,,흰줄푸른자나방,Geometra dieckmanni,,○
372,,,,,쌍줄푸른자나방,Geometra glaucaria,,○
373,,,,,노랑꼬마물결자나방,Hydrelia flammeolaria,,○
374,,,,,고운물결자나방,Hydrelia nisaria,,○
375,,,,,넓은띠물결자나방,Hydriomena impluviata,,○
376,,,,,세줄날개가지나방,Hypomecis roboraria,,○
377,,,,,흰줄각시가지나방,Ligdia japonaria,,○
378,,,,,노랑잔줄물결자나방,Lobogonodes erectaria,,○
379,,,,,먹그림가지나방,Menophra senilis,,○
380,,,,,보라애기가지나방,Ninodes splendens,,○
381,,,,,노랑날개무늬가지나방,Obeidia tigrata,,○
382,,,,,굵은줄제비가지나방,Ourapteryx persica,,○
383,,,,,영실회색가지나방,Paradarisa consonaria,,○
384,,,,,알락흰가지나방,Percnia albinigrata,,○
